year_bin_start,probability_density
940,0.0007
950,0.0007111111111111111
960,0.0007111111111111111
970,0.0008444444444444444
980,0.0007222222222222222
990,0.0006777777777777778
1000,0.0007666666666666667
1010,0.001
1020,0.0007444444444444445
1030,0.0009222222222222222
1040,0.0007888888888888889
1050,0.0006888888888888888
1060,0.0008222222222222222
1070,0.0009222222222222222
1080,0.0007
1090,0.0007333333333333333
1100,0.0007444444444444445
1110,0.0007777777777777777
1120,0.0009555555555555555
1130,0.0008444444444444444
1140,0.0008888888888888889
1150,0.0008777777777777778
1160,0.0007888888888888889
1170,0.0006555555555555556
1180,0.0007888888888888889
1190,0.0009
1200,0.0008111111111111111
1210,0.0007888888888888889
1220,0.0010222222222222223
1230,0.0007444444444444445
1240,0.0006111111111111111
1250,0.0008222222222222222
1260,0.0009333333333333333
1270,0.0008444444444444444
1280,0.0006444444444444444
1290,0.0009666666666666667
1300,0.0008666666666666666
1310,0.0006777777777777778
1320,0.0009666666666666667
1330,0.0007888888888888889
1340,0.0009111111111111111
1350,0.0008111111111111111
1360,0.0008444444444444444
1370,0.0010333333333333334
1380,0.0006555555555555556
1390,0.0008333333333333334
1400,0.0005888888888888889
1410,0.0008333333333333334
1420,0.0007777777777777777
1430,0.0009333333333333333
1440,0.0009333333333333333
1450,0.0010444444444444444
1460,0.0009111111111111111
1470,0.0008444444444444444
1480,0.0011222222222222222
1490,0.0009444444444444445
1500,0.0009666666666666667
1510,0.0008333333333333334
1520,0.0008555555555555556
1530,0.0008888888888888889
1540,0.0011
1550,0.0008666666666666666
1560,0.0011
1570,0.0009333333333333333
1580,0.000988888888888889
1590,0.0009333333333333333
1600,0.0009444444444444445
1610,0.0008555555555555556
1620,0.0009333333333333333
1630,0.0009222222222222222
1640,0.0009111111111111111
1650,0.0009555555555555555
1660,0.0008888888888888889
1670,0.0008777777777777778
1680,0.0011555555555555555
1690,0.001
1700,0.0008777777777777778
1710,0.0011444444444444445
1720,0.0009666666666666667
1730,0.0009222222222222222
1740,0.0010444444444444444
1750,0.0008666666666666666
1760,0.001
1770,0.0009333333333333333
1780,0.0010888888888888888
1790,0.001011111111111111
1800,0.0009666666666666667
1810,0.0009333333333333333
1820,0.0010333333333333334
1830,0.0008777777777777778
1840,0.0009333333333333333
1850,0.0011111111111111111
1860,0.0009222222222222222
1870,0.0010444444444444444
1880,0.000988888888888889
1890,0.0011222222222222222
1900,0.0009555555555555555
1910,0.0010222222222222223
1920,0.0010888888888888888
1930,0.0011222222222222222
1940,0.0011666666666666668
1950,0.001288888888888889
1960,0.0011222222222222222
1970,0.0009666666666666667
1980,0.0012222222222222222
1990,0.0011444444444444445
2000,0.0011333333333333334
2010,0.0011555555555555555
2020,0.0010666666666666667
2030,0.0013
2040,0.0013444444444444445
2050,0.0009777777777777777
2060,0.000988888888888889
2070,0.0010666666666666667
2080,0.0011666666666666668
2090,0.0011444444444444445
2100,0.0011888888888888889
2110,0.0011777777777777778
2120,0.0010555555555555555
2130,0.0011222222222222222
2140,0.0012444444444444445
2150,0.0011222222222222222
2160,0.0012444444444444445
2170,0.0012111111111111112
2180,0.0011777777777777778
2190,0.0012111111111111112
2200,0.0013111111111111112
2210,0.001
