year,probability_at_least_one_signal,expected_detectable_sources,window_limited_probability,window_limited_expected_sources,synchronization_loss_fraction,probability_p05,probability_p95
7700,0.046977159259817935,0.04811495539178214,0.0006662228188741848,0.0006664445661180857,0.9858181544101148,0.046961090576828464,0.046977159259817935
7800,0.04704211134989145,0.04818310736610287,0.0006018949579656985,0.0006020759427378143,0.9872051882729306,0.04702602067413416,0.04704211134989145
7900,0.04710028545852096,0.04824415137836782,0.0005426411955830046,0.0005427882943413742,0.9884790253328531,0.047084175080903776,0.04710028545852096
8000,0.047152282326379025,0.048298716558443915,0.00048820359680890046,0.0004883226578573038,0.9896462361369986,0.0471361543351886,0.047152282326379025
8100,0.047198663410767616,0.04834739108097724,0.00043831943479022417,0.000438415404632174,0.9907133083202897,0.04718251970487516,0.047198663410767616
8200,0.04723995165480177,0.04839072292500513,0.0003927240317939118,0.0003928010715891671,0.9916866123262852,0.047223793956637825,0.04723995165480177
8300,0.047276632502621485,0.048429220898810195,0.000351153307896368,0.0003512148995234764,0.9925723705495121,0.047260462370785156,0.047276632502621485
8400,0.04730915512064804,0.048463355887277154,0.00031334603631938407,0.0003133950780300216,0.9933766300514079,0.04729297396212823,0.04730915512064804
8500,0.04733793378700801,0.04849356228125502,0.0002790458093399062,0.00027908470116211613,0.994105238927507,0.0473217428689234,0.04733793378700801
8600,0.047363349413746536,0.048520239551029465,0.00024800272260938616,0.00024803344190385605,0.9947638263408498,0.04734714987458045,0.047363349413746536
8700,0.04738575116899202,0.048543753928850464,0.0002199747891625803,0.0002199989568999455,0.9953577861754669,0.04736954402927709,0.04738575116899202
8800,0.04740545816912367,0.04856444016848936,0.00019472909717654918,0.00019474803563469988,0.995892264209707,0.047389244341569554,0.04740545816912367
8900,0.047422761213974485,0.0485826033529172,0.0001720427278690817,0.00017205751040940307,0.9963721486588937,0.04740654151301158,0.047422761213974485
9000,0.047437924540901566,0.04859852072434468,0.00015170345132664576,0.00015171494506646988,0.9968020639015132,0.04742169969161712,0.047437924540901566
9100,0.047451187576527,0.04861244351399016,0.00013351021935337215,0.0001335191214904875,0.9971863671665108,0.047434958223064386,0.047451187576527
9200,0.047462766667977774,0.04862459875197983,0.0001172734750551907,0.00011728034352654178,0.9975291479345153,0.04744653338126926,0.047462766667977774
9300,0.04747285677779811,0.04863519104070734,0.00010281529890043828,0.00010282057814579291,0.9978342297919488,0.04745662006282272,0.04747285677779811
9400,0.04748163312974829,0.04864440427775252,8.996941108074807e-05,8.997345350981235e-05,0.9981051744611459,0.047465393432172404,0.04748163312974829
9500,0.04748925279480665,0.048652403317035915,7.858104930313914e-05,7.858413309226662e-05,0.9983452877297802,0.0474730105071171,0.04748925279480665
9600,0.04749585620905872,0.04865933555928464,6.850674050251637e-05,6.850908426201261e-05,0.9985576270022173,0.04747961167618296,0.04749585620905872
9700,0.04750156861723476,0.04866533246505765,5.961398400167184e-05,5.961575876665299e-05,0.9987450102020412,0.04748532214166204,0.04750156861723476
9800,0.047506501437366455,0.04867051098553783,5.1780862431738406e-05,5.178220142843621e-05,0.9989100257677361,0.047490253283840086,0.047506501437366455
9900,0.04751075354389278,0.048674974908045815,4.489559554199385e-05,4.489660211994468e-05,0.9990550434966157,0.04749450394363154,0.04751075354389302
10000,0.04751441246769661,0.04867881611475265,3.8856050795899044e-05,3.885680476611769e-05,0.9991822260072706,0.04749816162224332,0.04751441246769661
10100,0.04751755551306169,0.04868211575439053,3.356922300434828e-05,3.3569785758282764e-05,0.9992935406158442,0.047501303597733226,0.04751755551306169
10200,0.04752025079241362,0.048684945327881646,2.8950694244134212e-05,2.8951112796844213e-05,0.999390771434044,0.047503997959428584,0.04752025079241362
10300,0.04752255818071349,0.04868736768973706,2.4924083607213987e-05,2.4924393829377856e-05,0.9994755315252088,0.047506304561956716,0.04752255818071349
10400,0.04752453019192293,0.04868943796784271,2.1420495309509846e-05,2.1420724442736978e-05,0.999549274969726,0.0475082759014645,0.04752453019192293
10500,0.04752621278080149,0.04869120440485018,1.837797215398229e-05,1.8378140819740386e-05,0.9996133087178912,0.04750995791709175,0.04752621278080149
