year,baseline_probability,probability_p05,probability_p25,probability_p50,probability_p75,probability_p95
18000,0.05217487413999189,0.0063214760507472045,0.027934656915330147,0.05471613160488059,0.08559570950539638,0.20467906673048636
18100,0.052174874140393235,0.006321476067667315,0.02793465811922266,0.05471613188359237,0.08559571014629941,0.20467906675153136
18200,0.05217487414071664,0.00632147608238523,0.02793465917994828,0.05471613212012594,0.08559571068243946,0.20467906676869338
18300,0.0521748741409761,0.006321476095179763,0.02793466011427176,0.054716132320905664,0.08559571113061964,0.20467906678268838
18400,0.0521748741411856,0.006321476106294888,0.027934660937028122,0.054716132491373415,0.08559571150500872,0.20467906679409725
18500,0.05217487414135258,0.006321476115943886,0.027934661661347532,0.05471613263614128,0.08559571181754755,0.20467906680339848
18600,0.05217487414148714,0.006321476124313258,0.027934662298838564,0.054716132759113134,0.0855957120782849,0.20467906681097994
18700,0.05217487414159605,0.006321476131568022,0.027934662859763953,0.054716132863596334,0.08559571229566998,0.20467906681715897
18800,0.05217487414168409,0.006321476137850702,0.02793466335319833,0.054716132952394136,0.08559571247680184,0.2046790668221949
18900,0.05217487414175326,0.006321476143284944,0.027934663787150732,0.05471613302787953,0.08559571262764198,0.20467906682629872
19000,0.05217487414181021,0.006321476147983302,0.027934664168699275,0.054716133092062136,0.08559571275318678,0.2046790668296432
19100,0.05217487414185529,0.0063214761520385965,0.027934664504092488,0.05471613314664714,0.0855957128576241,0.2046790668323681
19200,0.05217487414189148,0.006321476155538197,0.027934664798841685,0.05471613319308144,0.0855957129444612,0.20467906683458847
19300,0.052174874141919125,0.006321476158551703,0.027934665057810865,0.054716133232588116,0.08559571301662897,0.2046790668363974
19400,0.052174874141944216,0.006321476161145223,0.02793466528529079,0.054716133266205336,0.08559571307658087,0.20467906683787135
19500,0.05217487414196165,0.006321476163374374,0.02793466548506246,0.05471613329481512,0.08559571312636474,0.20467906683907233
19600,0.052174874141979966,0.006321476165287804,0.027934665660460573,0.054716133319165805,0.08559571316768921,0.20467906684005066
19700,0.05217487414199118,0.006321476166927659,0.027934665814422444,0.05471613333989295,0.08559571320198059,0.20467906684084808
19800,0.05217487414200117,0.006321476168331513,0.02793466594953603,0.05471613335753461,0.08559571323042489,0.20467906684149723
19900,0.052174874142008054,0.006321476169531659,0.027934666068080705,0.05471613337255171,0.08559571325401402,0.20467906684202625
20000,0.052174874142013716,0.00632147617055615,0.027934666172063888,0.0547161333853326,0.08559571327357052,0.20467906684245718
